"node1","node10","node11","node12","node13","node14","node15","node16","node17","node18","node19","node2","node20","node21","node22","node23","node24","node25","node26","node27","node28","node29","node3","node30","node31","node32","node33","node34","node35","node36","node37","node38","node39","node4","node40","node41","node42","node43","node44","node45","node46","node47","node48","node49","node5","node50","node6","node7","node8","node9"
"true","true","true","true","false","false","false","true","false","false","false","false","false","false","true","true","true","true","false","true","true","true","false","true","false","true","false","true","true","false","true","false","true","false","true","false","false","true","true","true","false","true","false","true","true","true","true","false","false","true"
"true","false","true","true","false","false","false","false","true","true","true","false","true","true","true","true","true","true","true","true","false","false","true","false","true","false","true","false","false","true","true","true","true","false","true","false","false","true","true","true","true","true","true","true","true","false","true","false","false","true"
"false","false","false","true","false","true","false","false","true","false","false","true","true","true","false","false","false","true","false","false","false","false","true","false","true","true","true","false","false","true","true","true","true","false","true","false","true","true","true","false","true","true","true","false","true","false","false","true","false","false"
"true","true","true","true","false","true","false","true","true","true","false","true","false","false","true","false","false","false","true","true","true","true","false","false","false","true","false","false","false","true","true","false","true","true","true","false","true","false","true","false","true","false","true","true","true","false","true","false","true","true"
"true","false","false","true","true","false","false","true","false","true","false","false","false","false","true","false","true","true","true","true","true","false","true","false","true","false","true","true","false","true","true","true","false","false","false","true","true","true","false","false","false","true","true","false","true","true","true","false","false","false"
"true","true","false","true","false","true","true","false","true","false","false","false","false","false","true","true","false","true","true","true","true","false","true","true","false","true","true","true","true","true","true","false","true","false","true","false","false","true","false","true","false","true","false","true","true","false","true","false","false","true"
"false","true","false","false","false","true","false","false","true","false","false","true","true","false","true","true","false","true","true","false","false","true","false","true","false","false","false","false","false","false","true","false","false","true","false","true","true","false","false","false","false","false","false","true","false","true","true","true","true","true"
"true","true","true","true","false","true","false","true","false","false","false","false","false","true","true","true","false","true","true","false","true","true","false","false","false","false","true","true","false","false","true","true","true","true","false","false","false","false","true","false","true","true","true","true","false","false","false","false","false","true"
"true","true","true","true","true","true","true","true","false","false","false","true","false","false","false","true","true","true","false","true","true","false","false","true","true","true","true","true","true","false","false","true","true","false","true","false","false","true","true","false","false","true","false","true","false","true","true","true","false","true"
"true","false","false","false","false","false","false","false","false","true","false","true","false","false","true","true","true","true","true","false","true","false","false","true","true","false","true","false","false","false","true","false","true","true","true","false","false","false","false","false","true","true","false","true","false","true","false","false","false","false"
"true","false","false","false","false","true","true","false","false","false","false","false","false","true","false","false","true","false","false","false","true","true","true","true","true","true","true","true","true","true","true","false","true","false","false","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false"
"true","true","false","true","false","true","true","true","false","false","false","false","true","true","true","true","false","true","false","true","false","false","true","false","false","false","false","true","false","true","true","true","true","true","false","false","false","true","false","true","false","true","false","true","true","false","true","false","true","false"
"true","false","false","true","false","true","true","true","true","false","false","false","false","false","true","true","true","true","false","true","false","false","true","true","true","true","false","true","false","true","true","false","true","false","true","false","false","false","true","true","true","true","true","false","true","false","false","false","true","true"
"true","true","false","true","true","false","false","false","true","true","false","true","false","false","true","true","false","true","true","false","true","false","false","true","true","false","true","false","false","false","true","true","false","false","true","false","false","true","false","true","true","true","false","true","false","true","true","false","false","false"
"true","true","true","true","false","true","false","false","true","true","false","false","false","false","true","true","true","true","true","true","false","false","false","true","false","false","true","false","true","true","true","true","true","true","false","false","false","true","false","false","true","true","false","true","true","false","true","false","false","true"
"true","true","false","true","false","false","false","false","true","true","false","true","false","false","true","true","false","true","true","true","true","true","false","false","false","false","true","false","false","false","true","false","false","false","true","false","false","false","false","true","true","true","true","true","false","true","true","true","false","true"
"false","true","true","true","true","false","false","false","true","true","false","true","false","true","true","true","true","true","true","true","false","false","true","false","false","false","false","true","false","true","true","false","true","false","false","false","true","false","false","true","false","false","false","true","true","true","true","false","false","false"
"true","true","false","false","false","true","true","true","false","true","true","true","false","true","true","false","false","true","false","true","true","true","true","false","true","true","true","true","false","false","true","false","true","false","true","false","true","false","false","true","false","true","true","true","false","false","true","false","false","true"
